"Group","Group Name"
A,"Cereals and cereal products"
AA,"Flours, grains and starches"
AB,"Sandwiches"
AC,"Rice"
AD,"Pasta"
AE,"Pizzas"
AF,"Breads"
AG,"Rolls"
AI,"Breakfast cereals"
AK,"Infant cereal foods"
AM,"Biscuits"
AN,"Cakes"
AO,"Pastry"
AP,"Buns and pastries"
AS,"Puddings"
AT,"Savouries"
B,"Milk and milk products"
BA,"Cows milk"
BAB,"Breakfast milk"
BAE,"Skimmed milk"
BAH,"Semi-skimmed milk"
BAK,"Whole milk"
BAN,"Channel Island milk"
BAR,"Processed milks"
BC,"Other milks"
BF,"Infant formulas"
BFD,"Whey-based modified milks"
BFG,"Non-whey-based modified milks"
BFJ,"Soya-based modified milks"
BFP,"Follow-on formulas"
BH,"Milk-based drinks"
BJ,"Creams"
BJC,"Fresh creams (pasteurised)"
BJF,"Frozen creams (pasteurised)"
BJL,"Sterilised creams"
BJP,"UHT creams"
BJS,"Imitation creams"
BL,"Cheeses"
BN,"Yogurts"
BNE,"Whole milk yogurts"
BNH,"Low fat yogurts"
BNS,"Other yogurts"
BP,"Ice creams"
BR,"Puddings and chilled desserts"
BV,"Savoury dishes and sauces"
C,"Eggs"
CA,"Eggs"
CD,"Egg dishes"
CDE,"Savoury egg dishes"
CDH,"Sweet egg dishes"
D,"Vegetables"
DA,"Potatoes"
DAE,"Early potatoes"
DAM,"Main crop potatoes"
DAP,"Chipped old potatoes"
DAR,"Potato products"
DB,"Beans and lentils"
DF,"Peas"
DG,"Vegetables, general"
DI,"Vegetables, dried"
DR,"Vegetable dishes"
F,"Fruit"
FA,"Fruit, general"
FC,"Fruit juices"
G,"Nuts and seeds"
GA,"Nuts and seeds, general"
H,"Herbs and spices"
J,"Fish and fish products"
JA,"White fish"
JC,"Fatty fish"
JK,"Crustacea"
JM,"Molluscs"
JR,"Fish products and dishes"
M,"Meat and meat products"
MA,"Meat"
MAA,"Bacon"
MAC,"Beef"
MAE,"Lamb"
MAG,"Pork"
MAI,"Veal"
MC,"Poultry"
MCA,"Chicken"
MCC,"Duck"
MCE,"Goose"
MCG,"Grouse"
MCI,"Partridge"
MCK,"Pheasant"
MCM,"Pigeon"
MCO,"Turkey"
ME,"Game"
MEA,"Hare"
MEC,"Rabbit"
MEE,"Venison"
MG,"Offal"
MBG,"Burgers and grillsteaks"
MI,"Meat products"
MIG,"Other meat products"
MR,"Meat dishes"
O,"Fats and oils"
OA,"Spreading fats"
OB,"Animal fats"
OC,"Oils"
OE,"Non-animal fats"
OF,"Cooking fats"
P,"Beverages"
PA,"Powdered drinks, essences and infusions"
PAA,"Powdered drinks and essences"
PAC,"Infusions"
PC,"Soft drinks"
PCA,"Carbonated drinks"
PCC,"Squash and cordials"
PE,"Juices"
Q,"Alcoholic beverages"
QA,"Beers"
QC,"Ciders"
QE,"Wines"
QF,"Fortified wines"
QG,"Vermouths"
QI,"Liqueurs"
QK,"Spirits"
S,"Sugars, preserves and snacks"
SC,"Sugars, syrups and preserves"
SE,"Confectionery"
SEA,"Chocolate confectionery"
SEC,"Non-chocolate confectionery"
SN,"Savoury snacks"
SNA,"Potato-based snacks"
SNB,"Potato and mixed cereal snacks"
SNC,"Non-potato snacks"
W,"Soups, sauces and miscellaneous foods"
WA,"Soups"
WAA,"Homemade soups"
WAC,"Canned soups"
WAE,"Packet soups"
WC,"Sauces"
WCD,"Dairy sauces"
WCG,"Salad sauces, dressings and pickles"
WCN,"Non-salad sauces"
WE,"Pickles and chutneys"
WY,"Miscellaneous foods"
